age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,survey_wt,knowledge,knowledge_binary
55-64,female,gcse,cons,17500_24999,3,1,0,1,5,1,4,4,4,4,3,4,0.97828,-0.3218308132340501,0
65plus,male,degree,other,9500_17499,1,1,0,1,1,1,1,2,4,1,2,2,0.64571,-0.3218308132340501,0
55-64,male,degree,labour,9500_17499,3,1,1,0,4,3,2,4,4,4,4,3,0.79624,0.1349925272543115,0
15-24,male,alevel,no_party,25000plus,2,1,1,1,5,4,4,5,4,5,3,4,0.88024,0.6612552775959889,1
45-54,female,gcse,no_party,up_to_9499,3,1,1,1,2,4,1,3,5,4,3,4,0.97007,0.6612552775959889,1
15-24,female,gcse,other,up_to_9499,3,1,1,0,4,2,2,2,4,2,3,4,0.70093,0.1349925272543115,0
65plus,female,alevel,other,9500_17499,2,1,1,0,2,1,2,4,4,2,3,2,0.7663,0.1349925272543115,0
55-64,female,gcse,other,25000plus,3,1,1,0,3,2,3,3,3,3,3,3,0.91869,0.1349925272543115,0
35-44,female,gcse,labour,17500_24999,2,1,1,0,2,2,2,2,4,4,3,3,0.85398,0.1349925272543115,0
25-34,male,gcse,no_party,17500_24999,2,1,1,0,1,1,1,3,4,1,3,1,1.37824,0.1349925272543115,0
15-24,male,gcse,cons,9500_17499,2,1,1,0,1,1,3,4,5,4,3,3,0.77571,0.1349925272543115,0
55-64,male,degree,labour,25000plus,4,1,1,0,3,4,5,4,3,4,4,5,0.48611,0.1349925272543115,0
45-54,male,degree,labour,25000plus,3,1,1,1,2,2,5,5,4,5,3,3,0.89778,0.6612552775959889,1
35-44,female,degree,labour,25000plus,4,1,1,1,2,3,4,5,4,5,3,4,1.03617,0.6612552775959889,1
15-24,female,gcse,no_party,25000plus,3,1,1,0,2,4,4,4,3,4,3,2,1.33955,0.1349925272543115,0
65plus,male,no_qual,no_party,9500_17499,1,1,1,0,2,1,1,4,4,1,4,1,0.71289,0.1349925272543115,0
55-64,female,alevel,cons,9500_17499,3,1,1,0,2,2,3,4,3,2,4,2,1.01865,0.1349925272543115,0
55-64,male,degree,labour,25000plus,3,1,1,1,1,2,5,5,5,5,3,5,1.01296,0.6612552775959889,1
25-34,male,degree,cons,25000plus,3,1,1,1,2,2,2,4,4,3,2,2,1.45012,0.6612552775959889,1
65plus,female,gcse,other,9500_17499,3,1,1,0,4,1,3,4,5,2,5,2,0.81702,0.1349925272543115,0
25-34,male,degree,labour,25000plus,3,1,1,0,1,2,1,2,5,4,1,4,1.20538,0.1349925272543115,0
55-64,male,alevel,no_party,9500_17499,2,1,1,0,2,1,4,5,5,1,4,4,0.93067,0.1349925272543115,0
35-44,female,degree,labour,25000plus,3,1,1,1,4,2,5,5,5,5,2,5,1.30721,0.6612552775959889,1
55-64,male,no_qual,labour,9500_17499,1,0,0,1,1,1,2,2,4,3,3,3,0.68797,-1.5211301619680593,0
65plus,female,no_qual,other,25000plus,3,1,1,0,1,1,4,4,4,4,3,2,0.66506,0.1349925272543115,0
25-34,male,alevel,labour,25000plus,4,1,1,0,2,2,4,4,4,3,3,4,1.13422,0.1349925272543115,0
55-64,male,other,no_party,25000plus,1,0,1,0,3,1,2,2,4,2,2,1,0.67041,-1.313071516124142,0
45-54,female,alevel,labour,25000plus,3,1,1,1,1,3,4,4,5,2,1,4,1.08902,0.6612552775959889,1
65plus,male,no_qual,no_party,25000plus,2,0,0,0,2,1,1,5,5,3,4,2,0.61784,-1.7368542675113936,0
35-44,female,alevel,labour,up_to_9499,3,0,1,0,2,3,3,3,3,3,3,3,1.53401,-1.313071516124142,0
